;Cluster;cluster;signal;ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count;GENEID
7484;MAITcells.Downregulated_yMB;MAITcells;Downregulated_yMB;GO:0002385;mucosal immune response;Jun 32;83/28891;3,99E-10;3,30E-08;2,22E-08;23855/68009/66298/382059/503491/18703;6;Defa17,Defa20,Defa21,Defa22,Defa24,Pigr
7508;MAITcells.Upregulated_yMB;MAITcells;Upregulated_yMB;GO:0002181;cytoplasmic translation;47/77;148/28891;1,19E-90;9,14E-88;7,50E-88;67025/269261/270106/67115/66480/319195/19921/19933/19934/65019/19941/19942/26451/19943/19944/19946/19951/68436/57808/54217/19982/67248/100503670/19988/20005/11837/56040/68052/267019/20055/20084/20085/16898/67427/66481/66475/20088/78294/54127/20090/27050/20091/20102/20103/20104/20115/22186;47;Rpl11,Rpl12,Rpl13,Rpl14,Rpl15,Rpl17,Rpl19,Rpl21,Rpl22,Rpl23,Rpl26,Rpl27,Rpl27a,Rpl28,Rpl29,Rpl30,Rpl32,Rpl34,Rpl35a,Rpl36,Rpl36a,Rpl39,Rpl5,Rpl6,Rpl9,Rplp0,Rplp1,Rps13,Rps15a,Rps16,Rps18,Rps19,Rps2,Rps20,Rps21,Rps23,Rps24,Rps27a,Rps28,Rps29,Rps3,Rps3a1,Rps4x,Rps5,Rps6,Rps7,Uba52
7512;MAITcells.Upregulated_yMB;MAITcells;Upregulated_yMB;GO:0042254;ribosome biogenesis;23/77;322/28891;7,75E-27;1,19E-24;9,79E-25;110954/67025/67115/19941/19942/66489/57808/100503670/19988/11837/68052/267019/20055/20085/66481/66475/20088/57294/54127/20091/20103/20104/20115;23;Rpl10,Rpl11,Rpl14,Rpl26,Rpl27,Rpl35,Rpl35a,Rpl5,Rpl6,Rplp0,Rps13,Rps15a,Rps16,Rps19,Rps21,Rps23,Rps24,Rps27,Rps28,Rps3a1,Rps5,Rps6,Rps7
7516;MAITcells.Upregulated_yMB;MAITcells;Upregulated_yMB;GO:0016072;rRNA metabolic process;15/77;252/28891;1,85E-16;1,58E-14;1,30E-14;67025/67115/19941/19942/66489/57808/100503670/20055/20085/66481/20088/57294/54127/20104/20115;15;Rpl11,Rpl14,Rpl26,Rpl27,Rpl35,Rpl35a,Rpl5,Rps16,Rps19,Rps21,Rps24,Rps27,Rps28,Rps6,Rps7
7518;MAITcells.Upregulated_yMB;MAITcells;Upregulated_yMB;GO:0034470;ncRNA processing;15/77;413/28891;2,60E-13;1,82E-11;1,49E-11;67025/67115/19941/19942/66489/57808/100503670/20055/20085/66481/20088/57294/54127/20104/20115;15;Rpl11,Rpl14,Rpl26,Rpl27,Rpl35,Rpl35a,Rpl5,Rps16,Rps19,Rps21,Rps24,Rps27,Rps28,Rps6,Rps7
7519;MAITcells.Upregulated_yMB;MAITcells;Upregulated_yMB;GO:0042273;ribosomal large subunit biogenesis;Sep 77;76/28891;5,17E-13;3,31E-11;2,72E-11;110954/67025/67115/19941/66489/57808/100503670/19988/11837;9;Rpl10,Rpl11,Rpl14,Rpl26,Rpl35,Rpl35a,Rpl5,Rpl6,Rplp0
7979;Plasmacells.Downregulated_yMB;Plasmacells;Downregulated_yMB;GO:0042742;defense response to bacterium;17/132;430/28891;1,42E-11;1,76E-08;1,35E-08;219033/12010/12608/23855/68009/66298/382059/503491/626708/13239/108655/14469/14824/110557/17110/19324/18489;17;Ang4,B2m,Cebpb,Defa17,Defa20,Defa21,Defa22,Defa24,Defa26,Defa5,Foxp1,Gbp2,Grn,H2-Q6,Lyz1,Rab1a,Reg3b
7980;Plasmacells.Downregulated_yMB;Plasmacells;Downregulated_yMB;GO:0140975;disruption of cellular anatomical structure in another organism;8/132;47/28891;4,15E-11;3,18E-08;2,44E-08;23855/68009/66298/382059/503491/626708/13239/18489;8;Defa17,Defa20,Defa21,Defa22,Defa24,Defa26,Defa5,Reg3b
7981;Plasmacells.Downregulated_yMB;Plasmacells;Downregulated_yMB;GO:0032496;response to lipopolysaccharide;16/132;401/28891;5,13E-11;3,18E-08;2,44E-08;219033/12010/12608/23855/68009/66298/382059/503491/626708/13239/14284/108655/14469/16179/15370/211770;16;Ang4,B2m,Cebpb,Defa17,Defa20,Defa21,Defa22,Defa24,Defa26,Defa5,Fosl2,Foxp1,Gbp2,Irak1,Nr4a1,Trib1
7984;Plasmacells.Downregulated_yMB;Plasmacells;Downregulated_yMB;GO:0051673;disruption of plasma membrane integrity in another organism;7/132;41/28891;6,99E-10;2,48E-07;1,90E-07;23855/68009/66298/382059/503491/626708/13239;7;Defa17,Defa20,Defa21,Defa22,Defa24,Defa26,Defa5
7986;Plasmacells.Downregulated_yMB;Plasmacells;Downregulated_yMB;GO:0019731;antibacterial humoral response;10/132;140/28891;9,74E-10;2,68E-07;2,06E-07;219033/12010/23855/68009/66298/382059/503491/626708/13239/110557;10;Ang4,B2m,Defa17,Defa20,Defa21,Defa22,Defa24,Defa26,Defa5,H2-Q6
8211;Plasmacells.Upregulated_yMB;Plasmacells;Upregulated_yMB;GO:0002181;cytoplasmic translation;Nov 44;148/28891;2,90E-16;3,03E-13;1,93E-13;67025/270106/19933/19944/68436/19988/20005/11837/27207/267019/20115;11;Rpl11,Rpl13,Rpl21,Rpl29,Rpl34,Rpl6,Rpl9,Rplp0,Rps11,Rps15a,Rps7
8218;Plasmacells.Upregulated_yMB;Plasmacells;Upregulated_yMB;GO:2001242;regulation of intrinsic apoptotic signaling pathway;Jun 44;194/28891;4,84E-07;6,25E-05;3,99E-05;16149/67184/268373/67025/20115/22187;6;Cd74,Ndufa13,Ppia,Rpl11,Rps7,Ubb
8219;Plasmacells.Upregulated_yMB;Plasmacells;Upregulated_yMB;GO:0042254;ribosome biogenesis;Jul 44;322/28891;5,38E-07;6,25E-05;3,99E-05;110954/67025/19988/11837/27207/267019/20115;7;Rpl10,Rpl11,Rpl6,Rplp0,Rps11,Rps15a,Rps7
8220;Plasmacells.Upregulated_yMB;Plasmacells;Upregulated_yMB;GO:0042255;ribosome assembly;Apr 44;66/28891;3,15E-06;0,000328888;0,000210038;110954/67025/19988/11837;4;Rpl10,Rpl11,Rpl6,Rplp0
8221;Plasmacells.Upregulated_yMB;Plasmacells;Upregulated_yMB;GO:2001233;regulation of apoptotic signaling pathway;Jul 44;437/28891;4,08E-06;0,00037173;0,000237398;16149/67184/268373/21672/67025/20115/22187;7;Cd74,Ndufa13,Ppia,Prdx2,Rpl11,Rps7,Ubb
